<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.04	01:00:00	12893.90	12908.80	12873.90	12880.70	9185	0	0
2021.01.04	01:05:00	12880.80	12895.30	12879.30	12895.20	3395	0	0
2021.01.04	01:10:00	12894.70	12900.20	12892.80	12897.30	3355	0	0
2021.01.04	01:15:00	12896.90	12899.70	12889.80	12889.80	3735	0	0
2021.01.04	01:20:00	12889.90	12893.80	12884.20	12889.00	2955	0	0
2021.01.04	01:25:00	12889.20	12894.90	12889.20	12892.40	2675	0	0
2021.01.04	01:30:00	12893.30	12894.30	12887.70	12889.90	2185	0	0
2021.01.04	01:35:00	12889.80	12890.80	12879.00	12880.70	3245	0	0
2021.01.04	01:40:00	12880.50	12884.40	12873.70	12878.30	3095	0	0
2021.01.04	01:45:00	12878.20	12880.40	12865.80	12866.20	3735	0	0
2021.01.04	01:50:00	12866.30	12869.00	12857.70	12864.70	3575	0	0
2021.01.04	01:55:00	12864.20	12869.20	12859.90	12868.90	2065	0	0
2021.01.04	02:00:00	12869.70	12871.20	12848.80	12858.70	4775	0	0
2021.01.04	02:05:00	12859.30	12860.50	12851.30	12855.30	3655	0	0
2021.01.04	02:10:00	12855.30	12860.20	12854.90	12857.00	2175	0	0
2021.01.04	02:15:00	12857.40	12859.80	12846.70	12852.00	3715	0	0
2021.01.04	02:20:00	12852.30	12854.90	12848.30	12850.30	2555	0	0
2021.01.04	02:25:00	12850.50	12858.00	12849.70	12856.80	1665	0	0
2021.01.04	02:30:00	12856.90	12859.20	12846.70	12850.90	2725	0	0
2021.01.04	02:35:00	12851.20	12853.50	12839.80	12845.30	3805	0	0
2021.01.04	02:40:00	12846.00	12847.50	12837.40	12846.00	2435	0	0
2021.01.04	02:45:00	12845.90	12846.20	12834.20	12838.00	3225	0	0
2021.01.04	02:50:00	12838.20	12841.70	12836.90	12837.80	2125	0	0
2021.01.04	02:55:00	12838.00	12841.70	12830.20	12839.30	2875	0	0
2021.01.04	03:00:00	12838.70	12847.40	12838.70	12843.20	2615	0	0
2021.01.04	03:05:00	12843.00	12857.90	12842.20	12855.40	3175	0	0
2021.01.04	03:10:00	12855.50	12855.80	12850.00	12850.80	1905	0	0
2021.01.04	03:15:00	12850.70	12850.80	12843.90	12846.20	2325	0	0
2021.01.04	03:20:00	12846.30	12851.40	12844.80	12851.30	1865	0	0
2021.01.04	03:25:00	12851.70	12852.90	12846.20	12848.40	1895	0	0
2021.01.04	03:30:00	12848.50	12849.80	12840.40	12842.00	2655	0	0
2021.01.04	03:35:00	12841.90	12848.20	12841.00	12847.90	1665	0	0
2021.01.04	03:40:00	12847.70	12852.30	12847.00	12849.20	1885	0	0
2021.01.04	03:45:00	12849.30	12854.40	12847.00	12853.80	1735	0	0
2021.01.04	03:50:00	12854.00	12855.30	12851.70	12852.20	1445	0	0
2021.01.04	03:55:00	12852.30	12855.40	12851.00	12855.40	1435	0	0
2021.01.04	04:00:00	12855.50	12862.20	12855.40	12859.40	1955	0	0
2021.01.04	04:05:00	12859.30	12862.30	12858.90	12861.20	1435	0	0
2021.01.04	04:10:00	12861.30	12862.70	12858.90	12860.90	1455	0	0
2021.01.04	04:15:00	12861.50	12867.80	12861.40	12865.00	1885	0	0
2021.01.04	04:20:00	12865.20	12866.50	12863.90	12864.20	1485	0	0
2021.01.04	04:25:00	12864.30	12867.30	12863.90	12865.30	1085	0	0
2021.01.04	04:30:00	12865.20	12870.40	12865.20	12868.40	1265	0	0
2021.01.04	04:35:00	12868.50	12869.00	12859.20	12860.20	1835	0	0
2021.01.04	04:40:00	12859.90	12861.40	12858.80	12860.90	1085	0	0
2021.01.04	04:45:00	12860.70	12861.80	12858.90	12861.40	1135	0	0
2021.01.04	04:50:00	12861.30	12861.90	12859.70	12861.40	865	0	0
2021.01.04	04:55:00	12862.20	12864.20	12859.90	12863.90	1325	0	0
2021.01.04	05:00:00	12863.80	12864.70	12860.70	12862.30	1295	0	0
2021.01.04	05:05:00	12862.00	12868.40	12861.30	12868.20	1345	0	0
2021.01.04	05:10:00	12868.30	12870.20	12867.20	12869.70	1115	0	0
2021.01.04	05:15:00	12869.90	12872.50	12868.30	12870.20	1285	0	0
2021.01.04	05:20:00	12870.40	12873.70	12870.30	12873.00	1065	0	0
2021.01.04	05:25:00	12873.20	12877.70	12872.50	12876.20	1145	0	0
2021.01.04	05:30:00	12875.90	12877.90	12875.40	12877.50	1085	0	0
2021.01.04	05:35:00	12877.40	12878.00	12874.40	12877.20	885	0	0
2021.01.04	05:40:00	12877.70	12878.30	12874.40	12874.90	1165	0	0
2021.01.04	05:45:00	12874.90	12875.50	12873.20	12874.90	845	0	0
2021.01.04	05:50:00	12874.90	12875.90	12871.20	12872.00	1185	0	0
2021.01.04	05:55:00	12872.20	12876.70	12871.50	12875.40	1205	0	0
2021.01.04	06:00:00	12876.00	12879.70	12875.40	12878.40	1265	0	0
2021.01.04	06:05:00	12878.20	12879.70	12876.20	12878.20	955	0	0
2021.01.04	06:10:00	12878.00	12882.20	12877.90	12881.30	855	0	0
2021.01.04	06:15:00	12881.20	12882.20	12878.30	12879.00	1255	0	0
2021.01.04	06:20:00	12879.30	12879.70	12877.20	12877.80	905	0	0
2021.01.04	06:25:00	12877.90	12879.70	12877.50	12878.90	745	0	0
2021.01.04	06:30:00	12879.00	12880.50	12876.30	12877.20	825	0	0
2021.01.04	06:35:00	12877.30	12881.90	12876.20	12879.70	1495	0	0
2021.01.04	06:40:00	12879.50	12879.80	12878.40	12878.90	655	0	0
2021.01.04	06:45:00	12879.00	12879.90	12876.70	12879.20	1145	0	0
2021.01.04	06:50:00	12879.30	12879.40	12876.50	12877.40	935	0	0
2021.01.04	06:55:00	12877.70	12880.00	12876.80	12879.00	1045	0	0
2021.01.04	07:00:00	12877.70	12879.90	12876.20	12878.00	1305	0	0
2021.01.04	07:05:00	12877.90	12879.00	12876.30	12877.90	915	0	0
2021.01.04	07:10:00	12878.30	12879.40	12877.40	12879.20	805	0	0
2021.01.04	07:15:00	12878.90	12879.70	12875.20	12875.50	1415	0	0
2021.01.04	07:20:00	12875.70	12875.90	12868.50	12869.00	1855	0	0
2021.01.04	07:25:00	12869.30	12873.40	12869.30	12872.70	875	0	0
2021.01.04	07:30:00	12872.50	12872.80	12868.70	12870.20	1525	0	0
2021.01.04	07:35:00	12870.00	12870.50	12868.00	12869.50	1065	0	0
2021.01.04	07:40:00	12869.80	12869.80	12867.50	12868.50	995	0	0
2021.01.04	07:45:00	12868.30	12868.50	12862.80	12863.20	1375	0	0
2021.01.04	07:50:00	12863.40	12868.90	12863.20	12867.70	1375	0	0
2021.01.04	07:55:00	12867.70	12875.00	12867.70	12872.80	2315	0	0
2021.01.04	08:00:00	12872.90	12884.00	12872.90	12880.80	2545	0	0
2021.01.04	08:05:00	12880.70	12882.20	12876.70	12879.40	1815	0	0
2021.01.04	08:10:00	12879.30	12882.40	12878.00	12878.50	1115	0	0
2021.01.04	08:15:00	12879.40	12885.20	12879.40	12884.80	1565	0	0
2021.01.04	08:20:00	12885.00	12888.70	12884.40	12887.30	1145	0	0
2021.01.04	08:25:00	12887.30	12887.70	12883.40	12884.70	1495	0	0
2021.01.04	08:30:00	12885.00	12888.80	12884.20	12888.30	1295	0	0
2021.01.04	08:35:00	12888.30	12889.80	12886.00	12889.20	1115	0	0
2021.01.04	08:40:00	12889.40	12893.40	12889.30	12893.20	725	0	0
2021.01.04	08:45:00	12893.30	12899.80	12892.80	12897.80	1325	0	0
2021.01.04	08:50:00	12897.90	12898.20	12893.80	12894.40	1245	0	0
2021.01.04	08:55:00	12894.20	12897.90	12894.20	12895.30	885	0	0
2021.01.04	09:00:00	12895.40	12907.40	12895.40	12904.00	2735	0	0
2021.01.04	09:05:00	12903.70	12914.50	12903.30	12912.50	2875	0	0
2021.01.04	09:10:00	12912.70	12930.20	12912.40	12925.90	3605	0	0
2021.01.04	09:15:00	12927.80	12932.70	12924.20	12928.50	3235	0	0
2021.01.04	09:20:00	12928.20	12930.90	12923.30	12924.20	1745	0	0
2021.01.04	09:25:00	12923.90	12925.40	12921.70	12921.70	1325	0	0
2021.01.04	09:30:00	12922.30	12922.90	12918.30	12918.80	1315	0	0
2021.01.04	09:35:00	12918.70	12922.20	12913.40	12921.20	2015	0	0
2021.01.04	09:40:00	12921.00	12925.70	12920.20	12925.70	1065	0	0
2021.01.04	09:45:00	12925.50	12928.50	12923.70	12925.90	1475	0	0
2021.01.04	09:50:00	12925.90	12927.40	12921.70	12924.20	1865	0	0
2021.01.04	09:55:00	12923.90	12937.40	12923.80	12937.40	2425	0	0
2021.01.04	10:00:00	12937.70	12944.70	12933.90	12939.20	4605	0	0
2021.01.04	10:05:00	12939.40	12957.70	12939.20	12948.00	6445	0	0
2021.01.04	10:10:00	12948.50	12952.50	12947.90	12949.90	2405	0	0
2021.01.04	10:15:00	12950.20	12950.20	12944.70	12946.20	2325	0	0
