<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.11.01	01:00:00	19907.70	19960.20	19907.70	19950.33	386	0	160
2024.11.01	01:05:00	19950.58	19950.95	19934.33	19936.33	241	0	160
2024.11.01	01:10:00	19938.08	19952.33	19937.70	19948.58	218	0	160
2024.11.01	01:15:00	19949.58	19953.33	19941.95	19951.33	310	0	160
2024.11.01	01:20:00	19951.33	19951.58	19947.08	19948.33	287	0	160
2024.11.01	01:25:00	19948.58	19958.95	19946.20	19956.45	280	0	160
2024.11.01	01:30:00	19956.33	19973.45	19952.45	19972.95	335	0	160
2024.11.01	01:35:00	19973.08	19982.83	19968.83	19979.33	407	0	160
2024.11.01	01:40:00	19979.20	19982.58	19967.95	19968.83	330	0	160
2024.11.01	01:45:00	19968.58	19976.45	19967.70	19969.45	247	0	160
2024.11.01	01:50:00	19969.58	19969.83	19951.08	19958.33	399	0	160
2024.11.01	01:55:00	19958.58	19964.33	19952.45	19963.58	278	0	160
2024.11.01	02:00:00	19962.58	19970.58	19945.45	19954.08	400	0	160
2024.11.01	02:05:00	19953.95	19954.45	19938.33	19941.20	360	0	160
2024.11.01	02:10:00	19940.95	19947.45	19940.33	19945.08	191	0	160
2024.11.01	02:15:00	19944.95	19952.08	19944.95	19948.70	191	0	160
2024.11.01	02:20:00	19948.58	19961.58	19948.58	19961.20	212	0	160
2024.11.01	02:25:00	19961.08	19964.58	19955.33	19959.08	266	0	160
2024.11.01	02:30:00	19959.20	19960.45	19950.95	19952.58	305	0	160
2024.11.01	02:35:00	19952.95	19957.70	19947.45	19951.58	224	0	160
2024.11.01	02:40:00	19951.33	19959.08	19948.83	19954.95	247	0	160
2024.11.01	02:45:00	19954.83	19956.58	19944.33	19946.20	471	0	160
2024.11.01	02:50:00	19946.20	19950.95	19944.08	19945.45	337	0	160
2024.11.01	02:55:00	19945.58	19948.83	19943.08	19945.83	296	0	160
2024.11.01	03:00:00	19946.58	19946.58	19922.33	19930.45	691	0	160
2024.11.01	03:05:00	19929.95	19936.70	19928.33	19934.83	508	0	160
2024.11.01	03:10:00	19934.33	19942.20	19933.58	19939.83	347	0	160
2024.11.01	03:15:00	19939.70	19939.95	19925.95	19933.58	499	0	160
2024.11.01	03:20:00	19932.83	19944.20	19932.83	19943.08	427	0	160
2024.11.01	03:25:00	19943.08	19956.83	19941.83	19954.70	396	0	160
2024.11.01	03:30:00	19954.58	19956.33	19948.08	19952.58	380	0	160
2024.11.01	03:35:00	19952.20	19955.58	19946.08	19947.45	312	0	160
2024.11.01	03:40:00	19947.58	19950.58	19940.08	19950.08	328	0	160
2024.11.01	03:45:00	19949.33	19953.83	19946.33	19952.08	389	0	160
2024.11.01	03:50:00	19951.83	19958.45	19949.45	19949.95	442	0	160
2024.11.01	03:55:00	19950.20	19955.20	19944.70	19947.33	396	0	160
2024.11.01	04:00:00	19946.83	19955.83	19941.45	19952.33	540	0	160
2024.11.01	04:05:00	19951.83	19954.20	19942.83	19951.33	465	0	160
2024.11.01	04:10:00	19951.45	19954.58	19944.33	19952.70	424	0	160
2024.11.01	04:15:00	19952.58	19952.58	19943.58	19948.58	401	0	160
2024.11.01	04:20:00	19949.20	19956.45	19947.33	19952.08	354	0	160
2024.11.01	04:25:00	19951.83	19955.58	19944.20	19946.95	350	0	160
2024.11.01	04:30:00	19945.58	19947.08	19935.83	19938.33	571	0	160
2024.11.01	04:35:00	19938.58	19948.45	19935.58	19944.45	562	0	160
2024.11.01	04:40:00	19944.58	19944.58	19937.83	19941.58	452	0	160
2024.11.01	04:45:00	19941.95	19944.58	19939.20	19940.08	497	0	160
2024.11.01	04:50:00	19939.83	19943.95	19933.33	19935.83	491	0	160
2024.11.01	04:55:00	19935.58	19937.08	19929.58	19934.33	446	0	160
2024.11.01	05:00:00	19934.70	19934.83	19922.08	19923.83	584	0	160
2024.11.01	05:05:00	19924.33	19929.20	19917.58	19919.58	470	0	160
2024.11.01	05:10:00	19918.83	19919.08	19894.33	19905.70	609	0	160
2024.11.01	05:15:00	19905.58	19918.45	19897.83	19918.08	595	0	160
2024.11.01	05:20:00	19918.33	19933.83	19917.33	19933.33	462	0	160
2024.11.01	05:25:00	19933.45	19940.95	19933.45	19940.33	506	0	160
2024.11.01	05:30:00	19939.45	19941.58	19935.33	19937.83	436	0	160
2024.11.01	05:35:00	19938.08	19943.33	19935.33	19943.20	396	0	160
2024.11.01	05:40:00	19943.58	19944.95	19939.83	19940.58	346	0	160
2024.11.01	05:45:00	19940.45	19945.33	19940.45	19942.45	342	0	160
2024.11.01	05:50:00	19942.58	19947.58	19940.20	19946.83	309	0	160
2024.11.01	05:55:00	19947.08	19952.08	19946.08	19952.08	324	0	160
2024.11.01	06:00:00	19951.95	19957.58	19949.33	19957.58	296	0	160
2024.11.01	06:05:00	19957.45	19966.20	19955.33	19965.20	376	0	160
2024.11.01	06:10:00	19965.08	19972.95	19965.08	19972.58	362	0	160
2024.11.01	06:15:00	19971.83	19973.08	19968.20	19972.58	309	0	160
2024.11.01	06:20:00	19972.33	19978.20	19972.20	19976.95	311	0	160
2024.11.01	06:25:00	19976.70	19976.70	19967.58	19969.70	257	0	160
2024.11.01	06:30:00	19969.70	19976.33	19969.70	19975.08	345	0	160
2024.11.01	06:35:00	19975.20	19975.45	19965.83	19969.33	323	0	160
2024.11.01	06:40:00	19969.70	19972.20	19966.20	19971.20	290	0	160
2024.11.01	06:45:00	19971.08	19975.83	19969.33	19969.83	317	0	160
2024.11.01	06:50:00	19970.08	19975.45	19969.83	19972.45	221	0	160
