Local time,Open,High,Low,Close,Volume
01.11.2024 00:00:00.000 GMT+0200,2743.945,2745.085,2743.265,2745.045,54020
01.11.2024 00:05:00.000 GMT+0200,2745.135,2747.465,2745.135,2746.545,49830
01.11.2024 00:10:00.000 GMT+0200,2746.554,2747.304,2746.405,2746.945,51840
01.11.2024 00:15:00.000 GMT+0200,2746.945,2747.225,2746.525,2746.525,24820
01.11.2024 00:20:00.000 GMT+0200,2746.525,2746.558,2745.625,2745.855,26940
01.11.2024 00:25:00.000 GMT+0200,2745.845,2745.964,2744.885,2745.795,15430
01.11.2024 00:30:00.000 GMT+0200,2745.755,2746.305,2745.705,2745.705,10130
01.11.2024 00:35:00.000 GMT+0200,2745.745,2746.285,2745.655,2746.055,12740
01.11.2024 00:40:00.000 GMT+0200,2746.035,2746.335,2745.695,2746.255,11880
01.11.2024 00:45:00.000 GMT+0200,2746.235,2746.235,2745.475,2745.685,9740
01.11.2024 00:50:00.000 GMT+0200,2745.675,2745.995,2745.655,2745.885,4400
01.11.2024 00:55:00.000 GMT+0200,2745.905,2746.285,2745.795,2745.985,11490
01.11.2024 01:00:00.000 GMT+0200,2745.995,2746.425,2745.535,2745.945,77650
01.11.2024 01:05:00.000 GMT+0200,2745.945,2746.758,2745.325,2746.385,117630
01.11.2024 01:10:00.000 GMT+0200,2746.395,2746.525,2746.245,2746.315,8760
01.11.2024 01:15:00.000 GMT+0200,2746.295,2746.315,2745.895,2746.195,12990
01.11.2024 01:20:00.000 GMT+0200,2746.225,2746.405,2746.115,2746.145,8580
01.11.2024 01:25:00.000 GMT+0200,2746.175,2746.955,2746.095,2746.955,32430
01.11.2024 01:30:00.000 GMT+0200,2746.925,2747.535,2746.715,2747.085,39330
01.11.2024 01:35:00.000 GMT+0200,2747.115,2747.415,2747.025,2747.225,13680
01.11.2024 01:40:00.000 GMT+0200,2747.205,2747.785,2747.145,2747.635,24480
01.11.2024 01:45:00.000 GMT+0200,2747.715,2747.715,2746.225,2746.775,53790
01.11.2024 01:50:00.000 GMT+0200,2746.815,2746.815,2746.165,2746.285,40590
01.11.2024 01:55:00.000 GMT+0200,2746.315,2746.685,2745.905,2746.545,42540
01.11.2024 02:00:00.000 GMT+0200,2746.545,2747.105,2745.695,2747.005,74640
01.11.2024 02:05:00.000 GMT+0200,2747.005,2747.175,2745.995,2746.285,57810
01.11.2024 02:10:00.000 GMT+0200,2746.285,2747.015,2746.215,2746.735,68430
